,ridership,transit_timestamp,station_complex_id,longitude,latitude
0,1,2023-03-30T00:00:00.000,418,-73.857475,40.893192
1,4,2023-03-30T00:00:00.000,126,-73.92291,40.706608
2,68,2023-03-30T00:00:00.000,14,-73.98934,40.741302
4,1,2023-03-30T00:00:00.000,200,-73.813644,40.588036
5,3,2023-03-30T00:00:00.000,198,-73.8303,40.660477
6,2,2023-03-30T00:00:00.000,196,-73.83592,40.672096
8,2,2023-03-30T00:00:00.000,185,-73.896545,40.67454
9,7,2023-03-30T00:00:00.000,125,-73.93314,40.706154
10,2,2023-03-30T00:00:00.000,133,-73.9031,40.675346
12,1,2023-03-30T00:00:00.000,137,-73.89948,40.650574
13,1,2023-03-30T00:00:00.000,189,-73.86505,40.677044
14,4,2023-03-30T00:00:00.000,2,-73.91785,40.77026
15,1,2023-03-30T00:00:00.000,188,-73.87211,40.675377
16,1,2023-03-30T00:00:00.000,193,-73.837685,40.68171
19,2,2023-03-30T00:00:00.000,129,-73.90408,40.695602
21,17,2023-03-30T00:00:00.000,130,-73.904045,40.688763
22,1,2023-03-30T00:00:00.000,20,-74.00698,40.713284
23,2,2023-03-30T00:00:00.000,190,-73.85899,40.67937
28,12,2023-03-30T00:00:00.000,183,-73.91195,40.67834
29,6,2023-03-30T00:00:00.000,192,-73.84386,40.680428
31,1,2023-03-30T00:00:00.000,186,-73.89036,40.67271
32,2,2023-03-30T00:00:00.000,131,-73.90525,40.68283
38,2,2023-03-30T00:00:00.000,134,-73.90198,40.66937
40,3,2023-03-30T00:00:00.000,13,-73.98869,40.745495
41,4,2023-03-30T00:00:00.000,195,-73.8258,40.68595
47,1,2023-03-30T00:00:00.000,194,-73.83216,40.68433
49,3,2023-03-30T00:00:00.000,138,-73.90185,40.646652
50,2,2023-03-30T00:00:00.000,191,-73.85147,40.679844
53,3,2023-03-30T00:00:00.000,143,-73.9199,40.868073
60,1,2023-03-30T00:00:00.000,135,-73.90057,40.66404
70,1,2023-03-30T00:00:00.000,197,-73.83406,40.668236
72,31,2023-03-30T00:00:00.000,124,-73.93985,40.70774
75,2,2023-03-30T00:00:00.000,127,-73.91843,40.70381
78,1,2023-03-30T00:00:00.000,136,-73.89923,40.658733
83,1,2023-03-30T00:00:00.000,433,-73.90781,40.81649
84,1,2023-03-30T00:00:00.000,141,-73.95763,40.67477
89,5,2023-03-30T00:00:00.000,144,-73.92727,40.86549
92,2,2023-03-30T00:00:00.000,187,-73.88075,40.67413
151,2,2023-03-30T00:00:00.000,249,-73.97302,40.608944
152,2,2023-03-30T00:00:00.000,255,-73.7936,40.71047
153,2,2023-03-30T00:00:00.000,243,-73.979675,40.64404
154,4,2023-03-30T00:00:00.000,157,-73.9647,40.79164
155,2,2023-03-30T00:00:00.000,352,-73.88408,40.666237
156,1,2023-03-30T00:00:00.000,35,-74.01788,40.64136
157,2,2023-03-30T00:00:00.000,252,-73.97425,40.58962
158,5,2023-03-30T00:00:00.000,299,-73.92554,40.86053
159,2,2023-03-30T00:00:00.000,368,-73.87452,40.82952
160,6,2023-03-30T00:00:00.000,305,-73.953674,40.822006
161,2,2023-03-30T00:00:00.000,327,-74.00927,40.715477
162,1,2023-03-30T00:00:00.000,245,-73.976974,40.629753
163,1,2023-03-30T00:00:00.000,70,-73.983765,40.58884
164,11,2023-03-30T00:00:00.000,162,-73.985985,40.762455
165,2,2023-03-30T00:00:00.000,365,-73.85122,40.834255
166,4,2023-03-30T00:00:00.000,149,-73.939896,40.836014
168,1,2023-03-30T00:00:00.000,362,-73.83632,40.843864
169,1,2023-03-30T00:00:00.000,78,-73.97913,40.597473
170,1,2023-03-30T00:00:00.000,69,-73.98683,40.597706
171,1,2023-03-30T00:00:00.000,377,-73.92614,40.810474
172,1,2023-03-30T00:00:00.000,36,-74.02338,40.634968
173,7,2023-03-30T00:00:00.000,298,-73.91882,40.86462
174,57,2023-03-30T00:00:00.000,118,-73.98612,40.73285
175,2,2023-03-30T00:00:00.000,296,-73.90983,40.87456
176,3,2023-03-30T00:00:00.000,1,-73.91203,40.775036
178,3,2023-03-30T00:00:00.000,114,-73.9274,40.697857
180,3,2023-03-30T00:00:00.000,67,-73.99817,40.604557
182,3,2023-03-30T00:00:00.000,257,-73.81071,40.70546
183,6,2023-03-30T00:00:00.000,372,-73.89644,40.816105
185,1,2023-03-30T00:00:00.000,33,-74.01001,40.648937
189,4,2023-03-30T00:00:00.000,306,-73.958374,40.815582
191,10,2023-03-30T00:00:00.000,122,-73.94405,40.714565
192,2,2023-03-30T00:00:00.000,156,-73.96146,40.796093
193,1,2023-03-30T00:00:00.000,308,-73.96685,40.803967
194,2,2023-03-30T00:00:00.000,80,-73.82829,40.700493
195,37,2023-03-30T00:00:00.000,307,-73.96411,40.80772
198,11,2023-03-30T00:00:00.000,333,-74.0091,40.70682
200,1,2023-03-30T00:00:00.000,158,-73.96892,40.78587
202,2,2023-03-30T00:00:00.000,77,-73.980354,40.603924
203,2,2023-03-30T00:00:00.000,351,-73.8894,40.665447
204,1,2023-03-30T00:00:00.000,370,-73.886284,40.826527
206,1,2023-03-30T00:00:00.000,66,-74.00174,40.607952
207,9,2023-03-30T00:00:00.000,300,-73.92941,40.855225
208,1,2023-03-30T00:00:00.000,348,-73.90894,40.662548
209,6,2023-03-30T00:00:00.000,241,-73.97949,40.660366
210,1,2023-03-30T00:00:00.000,367,-73.867615,40.83151
214,17,2023-03-30T00:00:00.000,153,-73.95235,40.811108
215,6,2023-03-30T00:00:00.000,329,-74.01379,40.70751
216,8,2023-03-30T00:00:00.000,360,-73.82812,40.852463
219,1,2023-03-30T00:00:00.000,76,-73.98185,40.611816
220,2,2023-03-30T00:00:00.000,297,-73.915276,40.869446
221,2,2023-03-30T00:00:00.000,244,-73.97817,40.63612
222,4,2023-03-30T00:00:00.000,301,-73.93359,40.849506
224,1,2023-03-30T00:00:00.000,155,-73.95816,40.800602
226,14,2023-03-30T00:00:00.000,328,-74.01219,40.711834
228,2,2023-03-30T00:00:00.000,361,-73.832565,40.84681
229,4,2023-03-30T00:00:00.000,376,-73.91924,40.807568
230,4,2023-03-30T00:00:00.000,254,-73.78381,40.712646
232,5,2023-03-30T00:00:00.000,363,-73.84295,40.839893
236,1,2023-03-30T00:00:00.000,81,-73.83634,40.69742
237,9,2023-03-30T00:00:00.000,101,-73.957756,40.70836
239,1,2023-03-30T00:00:00.000,375,-73.91404,40.805367
241,2,2023-03-30T00:00:00.000,72,-74.00535,40.631386
242,5,2023-03-30T00:00:00.000,154,-73.95488,40.805084
245,3,2023-03-30T00:00:00.000,350,-73.8949,40.664635
246,1,2023-03-30T00:00:00.000,304,-73.95036,40.82655
248,1,2023-03-30T00:00:00.000,366,-73.86082,40.833225
249,1,2023-03-30T00:00:00.000,364,-73.84704,40.836487
255,85,2023-03-30T00:00:00.000,119,-73.98163,40.730953
257,3,2023-03-30T00:00:00.000,71,-74.01172,40.635063
